Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
ISLR2,8611562.735826897,8611562.735826897,8611562.735826897,17347811.228712365,17347811.228712365,17347811.228712365,17347811.228712365
ISOC1,243183140.1364309,209729568.14882913,164275442.34869027,350348631.3941187,332506536.9617082,39587907.52426656,339445229.2971115
ISOC2,608261162.461064,490646603.62596524,767955991.9294763,1337953903.9616334,816336845.1318645,1465346827.81994,1520134726.4939222
IST1,476888444.8765212,779663890.8767135,826559121.8654714,856275163.3583192,723528907.8682657,765268797.1639936,790753344.9643892
ISYNA1,33018046.874724172,23468835.73895747,43730679.80297804,23551747.685488056,137083204.6008277,23551747.685488056,162828135.56810293
ITCH;WWP1,85962468.28075093,221776907.80920917,70964760.5653657,182446124.2209533,37859379.33661279,216308900.2024374,152067022.75867155
ITFG1,90130990.52110262,98907157.03963548,60571568.8404454,539142538.5757929,48585972.52018387,414280762.7752606,496489486.44287175
ITFG3,24750959.367134433,9658930.167499319,9658930.167499319,10727277.38706705,10727277.38706705,10727277.38706705,10727277.38706705
ITGA2,9525962.415971708,9525962.415971708,9525962.415971708,12384876.416484347,12384876.416484347,12384876.416484347,12384876.416484347
ITGA6,23162184.366973802,48451495.55661368,51435262.132933386,14979768.856948094,14979768.856948094,14979768.856948094,96776664.64323632
ITGA7,22614458.74543008,10260396.021369567,10260396.021369567,9794197.172566675,9794197.172566675,9794197.172566675,9794197.172566675
ITGAM,10336017.47716792,10336017.47716792,10336017.47716792,11255473.873095693,11255473.873095693,11255473.873095693,11255473.873095693
ITGAV,281203069.8508395,439596031.4701862,288713147.7961409,491827370.0084106,280915357.9466531,538374012.7766359,520944616.9296358
ITGB1,101697530.89383912,177701153.0817764,83585924.57197364,424103407.8369986,37799787.01606769,287262060.2366366,37799787.01606769
ITGB2,9920488.378840277,9920488.378840277,9920488.378840277,11966929.42268199,11966929.42268199,286331750.0705707,340106943.5612005
ITGB4,10591141.254987998,10591141.254987998,10591141.254987998,10475953.470123084,10475953.470123084,10475953.470123084,10475953.470123084
ITGB5,17080687.727448534,54265952.63222281,10069024.405277563,9924859.935470754,9924859.935470754,9924859.935470754,9924859.935470754
ITGB8,12684269.906953845,40596870.77930798,37583685.89152699,123618878.88415992,31927362.116381336,31927362.116381336,31927362.116381336
ITIH1,38440191.6234793,95924886.56497113,9772783.110828504,11677034.531173026,11677034.531173026,11677034.531173026,11677034.531173026
ITIH2,39848220.90847973,76499593.98866165,50208973.96143282,17215658.303813733,17215658.303813733,357930825.79270726,17215658.303813733
ITIH4,9596808.943296103,9596808.943296103,9596808.943296103,15112963.04881309,15112963.04881309,15112963.04881309,15112963.04881309
ITIH5,35394738.164708704,9359618.110668948,35041373.02691611,11636130.166567596,11636130.166567596,11636130.166567596,11636130.166567596
ITM2B,55418893.99649045,67107040.88052432,100416306.8082357,397792484.19491214,43584047.91025202,438048533.56002814,43584047.91025202
ITM2C,7567818.841955827,7567818.841955827,7567818.841955827,24374351.884084843,24374351.884084843,24374351.884084843,24374351.884084843
ITPA,725940926.2654595,236039002.367453,127805120.19451278,570500674.8695763,525974110.3366078,382781524.09121424,210674327.2716569
ITPK1,22443480.439601656,93422808.13040948,6360493.420407314,266207917.60662115,23255527.807086825,231434926.4618804,265968878.54877168
ITPKA,619844459.8535993,873104171.1209913,300517150.14557606,477194747.46769446,442290548.86641926,345319930.9517318,415515356.64314765
ITPR1,47951502826.70371,66452286774.819016,36162060938.20412,58144811605.01114,55619483314.06383,55065547038.580734,43095381655.02281
ITPR3,2508291261.2675185,3171092822.9058614,1932995815.1441019,12902584138.180788,9052509746.958765,9561680303.754658,7946196029.063139
ITSN1,706566499.8347645,895590947.2005856,670366173.8237113,1025416271.2017505,913390674.3927712,686081350.4718853,924060959.0841643
IVD,617043338.284069,761424537.1800327,1032514208.6754571,1123182960.8272057,1421554746.92419,1168137839.8642707,1071170217.8047246
IWS1,29285322.001686685,59795021.73704929,10022991.595674852,9799606.491211949,9799606.491211949,9799606.491211949,9799606.491211949
JAKMIP1,9203394.873118158,9203394.873118158,9203394.873118158,15378104.214170046,15378104.214170046,15378104.214170046,15378104.214170046
JAM2,149832190.94333702,198800783.6939675,236373321.32857484,284026363.1100441,288493944.94638246,262507198.51558483,214176491.96390623
JAM3,14625798.623148568,14625798.623148568,14625798.623148568,7694493.854138324,7694493.854138324,130092137.17242274,7694493.854138324
JMJD7-PLA2G4B;JMJD7,100539538.68905076,69286071.66570935,5676303.596483537,114474502.50435102,23472114.62707227,166133705.7206487,23472114.62707227
JMJD7-PLA2G4B;PLA2G4B;JMJD7,9692403.393857708,9692403.393857708,9692403.393857708,16330945.012168268,16330945.012168268,16330945.012168268,16330945.012168268
JPH1,13209937.355588116,26334189.857192464,25778313.63604685,11053277.78719474,11053277.78719474,11053277.78719474,11053277.78719474
JPH4,10158141.134358687,10158141.134358687,10158141.134358687,9616444.250337288,9616444.250337288,9616444.250337288,9616444.250337288
JRKL,10320070.756202338,10320070.756202338,10320070.756202338,9959549.588546276,9959549.588546276,9959549.588546276,9959549.588546276
JUP,126102477.95913337,102870088.13002457,117306610.74092905,58757648.775853954,58757648.775853954,58757648.775853954,58757648.775853954
KAL1,10097200.550542027,10097200.550542027,10097200.550542027,9351188.52294245,9351188.52294245,9351188.52294245,9351188.52294245
KALRN,11953401.722533492,5827841.181470364,6775339.872825293,30803593.203208033,30803593.203208033,30803593.203208033,30803593.203208033
KARS,877227090.1335913,800927884.3252252,875746992.2310395,1310166309.2033627,1238244153.236945,1385117077.9999342,1260200117.5801957
KATNAL1;KATNA1,13001569.074926082,45473089.18259504,5399181.387494679,28998079.80254317,28998079.80254317,28998079.80254317,48913849.22239086
KATNAL2,8923287.78612145,8923287.78612145,8923287.78612145,14129599.726003638,14129599.726003638,14129599.726003638,14129599.726003638
KATNB1,2683217.9068506905,2683217.9068506905,2683217.9068506905,41301012.69249548,41301012.69249548,41301012.69249548,41301012.69249548
