Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
DLGAP1,381760404.5845935,914518226.5847011,707286007.5659738,588218786.003763,666926847.6087444,685730612.4295713,627700795.727375
DLGAP2,74433616.51975094,64797025.90434231,55295854.6903394,16884773.09225637,16884773.09225637,16884773.09225637,16884773.09225637
DLGAP3,433492445.2993336,534627228.6856967,452110371.449414,636158198.0177132,486605654.6647077,426390978.7995619,543893720.7290604
DLGAP4,377243867.9893544,397711033.253129,205654499.99869722,484630022.85441554,331393698.4326405,287020743.431625,326015675.84809756
DLST,4522408689.290659,5507475390.071341,6827077210.312615,5764220927.079928,6087002446.4224,5434543747.140301,6810154482.162873
DMAP1,10322155.262516297,10322155.262516297,10322155.262516297,9965358.26831019,9965358.26831019,9965358.26831019,9965358.26831019
DMD,86900301.10320975,215617529.61012253,241952285.19733024,341743994.4934508,39616123.35556583,39616123.35556583,39616123.35556583
DMTN,1682951343.14912,2367593410.115527,1985882188.8953254,2649172609.4271607,1885590150.250948,1425463553.2682645,1575549874.6863117
DMWD,132819629.71676415,119122114.48895866,3564452.808055431,204197333.32294545,30161296.209195044,170657180.73903576,30161296.209195044
DMXL1,18217872.9389088,52649597.026741534,7588792.917712532,25317306.689204477,25317306.689204477,25317306.689204477,25317306.689204477
DMXL2,4948688360.597629,7448084073.680332,6600178678.194814,6807675532.158004,6008696430.829643,6441442644.100169,6578651872.265853
DNA2,9915554.558451403,9915554.558451403,320522114.83927417,11304935.368983675,11304935.368983675,11304935.368983675,11304935.368983675
DNAH7,9229023.80305835,285871018.1887553,290143501.91256034,9422296.778617209,9422296.778617209,9422296.778617209,9422296.778617209
DNAJA1,1712615308.8257709,1781486516.6482952,1953873366.9050658,2572169453.2494044,1742699824.6608465,1734051346.8966289,2201355357.340571
DNAJA2,1499123256.503822,1515110250.3947563,1405870341.2702384,1495710493.9866912,1379570045.1997955,1473391582.8477993,1685455302.4237645
DNAJA3,210851458.98087025,99789922.97351252,441276445.8557785,41525361.88240552,328016475.38286287,41525361.88240552,378980037.6552412
DNAJA4,26559692.426836297,265571529.80073494,61299447.77062902,224786570.77425054,29082982.013194095,29082982.013194095,29082982.013194095
DNAJB1,675068619.7009705,654186627.219545,986255989.9961817,825175058.0411593,862112055.954611,813480781.3536887,960803719.8197606
DNAJB11,210771880.0846497,242779878.81283522,154734509.3687479,373641121.7037243,38283604.05269507,38283604.05269507,38283604.05269507
DNAJB13,9790228.802521259,9790228.802521259,9790228.802521259,8553790.04341109,8553790.04341109,8553790.04341109,8553790.04341109
DNAJB2,155283720.52616474,251574538.74754524,385979247.6865497,435481441.5786439,33847316.52087972,390183914.1851979,333114443.83601046
DNAJB4,463691909.99278796,1177840969.6252968,1643387136.724526,944285318.1908864,834045290.0642089,1050447618.0083121,1189347643.7091446
DNAJB5,35800720.79794623,61324527.92486145,9629567.361015812,12706562.731890298,12706562.731890298,12706562.731890298,12706562.731890298
DNAJB6,10036053.821736153,10036053.821736153,10036053.821736153,9881803.218339795,9881803.218339795,9881803.218339795,9881803.218339795
DNAJC11,665558523.1685255,1045185265.4237431,1075420633.0327353,986234508.7430804,714597371.8190469,543190269.9264181,1340865443.266912
DNAJC12,10095503.151600754,10095503.151600754,10095503.151600754,9949830.390034389,9949830.390034389,9949830.390034389,9949830.390034389
DNAJC13,133182775.31503963,89329628.97958407,59594974.80442806,34818155.881772056,34818155.881772056,166043745.9849455,34818155.881772056
DNAJC19,52473729.3376627,110385279.28793299,59846422.46433945,43215394.60005535,43215394.60005535,43215394.60005535,43215394.60005535
DNAJC3,26233310.96620321,8756555.77977555,70665969.17016765,9765725343.751762,18895597.97210875,18895597.97210875,18895597.97210875
DNAJC5,2816000249.831124,3972153285.6625233,4668917047.4659395,4990330977.265701,5408750362.330071,5509973039.015747,5090755369.407409
DNAJC6,4254167463.289352,6317090098.027143,5734721030.58614,5793108243.330298,5656719081.9647045,6462032364.33047,5783184240.981915
DNAJC7,133470693.6619484,77692973.8618021,53987103.6419536,29032250.52358456,293094021.33996326,158427787.72810575,29032250.52358456
DNAJC8,174075914.6201795,160232656.2696807,164170000.83673164,40256052.16487593,520089786.8557518,40256052.16487593,211656896.33981293
DNER,9972784.101474555,9972784.101474555,9972784.101474555,9335951.691411808,9335951.691411808,9335951.691411808,9335951.691411808
DNM1,40265907835.87969,64055413299.63012,60591723032.27468,61575935537.74547,54316142245.74902,62931385471.29267,63663978831.811905
DNM1L,13950025052.535994,16703375862.513887,15729316617.768463,15096882151.672615,14880671076.030666,15312483368.349258,15822307063.080606
DNM2,2436902639.4731345,2995711674.512785,2798819065.1417985,3340989161.145592,3320191469.4102335,3400741591.359572,3431998193.6797485
DNM3,3783439174.4557524,5366350814.487227,5743698454.873092,6944692395.634992,6342408050.133791,7291281592.449269,6369000517.890619
DNMT1,406080138.97912866,183468402.80453885,386488245.8601419,2817931020.458106,2938508698.90603,2147503742.212807,2991596202.754802
DNPEP,272021916.3672025,465452053.6266241,736924790.4300834,498392398.70024127,472117883.91477525,424005089.4691031,533920641.7320426
DNPH1,435344720.6865641,318980098.7070161,501238460.1237241,618576402.9501027,523431314.2199824,626374644.40477,39115460.8610823
