Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
EIF2B4,121658854.31194933,111160114.89705445,133430150.13768665,91044336.00364286,25067242.419044487,119625358.36090702,25067242.419044487
EIF2B5,33032325.498591676,10290943.475929428,10290943.475929428,10901172.365267644,10901172.365267644,27678858.59082038,10901172.365267644
EIF2S1,866210280.320588,685392882.7171813,647429997.8228496,582407565.5722489,693052763.2089839,668233118.4487872,373750996.27977806
EIF2S2,384339030.1077188,366686401.90055317,252486781.01837626,38880550.834394224,412719613.7269362,370937366.4722001,38880550.834394224
EIF2S3,1194109123.089991,1087558559.4838428,1258970934.8137796,755993522.6787862,649870890.8569177,986872583.6796714,461035524.6249506
EIF3A,874791223.8019445,970489841.4630926,845950206.5563976,744151004.6213115,618896666.9231925,890141656.7975113,516956031.0813992
EIF3B,475271006.72919244,201633711.8187546,323018132.07535756,61227303.2495582,247657002.1775246,61227303.2495582,61227303.2495582
EIF3C,438781599.90030265,286363294.3904263,268480103.0854057,45008195.88864109,367152803.63869745,241224260.61222973,45008195.88864109
EIF3D,697366669.39019,228891455.07923988,286630297.3409229,185190755.14680248,50481743.39223849,50481743.39223849,50481743.39223849
EIF3E,616294197.1397502,455071451.7247229,435081117.0575376,336403943.20647347,304592902.1041259,618040234.3055568,266517481.88071528
EIF3F,176074517.0291253,139737882.06797332,106955174.71720943,43982011.766718365,43982011.766718365,441257328.78929675,43982011.766718365
EIF3G,39400362.14737179,10542052.13601959,144526157.76770753,11594012.564967,11594012.564967,11594012.564967,11594012.564967
EIF3H,94221256.7750506,69999978.46392965,112585585.49846615,71226341.93763508,71226341.93763508,71226341.93763508,71226341.93763508
EIF3I,689620929.0358016,297809105.1890904,137337413.88270918,294745366.1199369,286924422.7652745,42546581.66033028,42546581.66033028
EIF3J,633922754.800042,533082761.00140214,601328006.046007,423429704.65650105,441635753.27914965,234610982.74509412,191343882.9617061
EIF3K,133787706.6958069,104663691.02082714,199309587.4485485,41302270.4067018,367004519.0508924,420856969.7905812,334531272.6383021
EIF3L,417202166.62538445,241771306.7406032,298749548.08195245,310265746.433103,329843350.56466216,301641161.00372976,109596529.870345
EIF3M,78148285.14972188,33419430.69123433,12395660.81953329,55413534.728772216,388839200.4125435,55413534.728772216,55413534.728772216
EIF4A1,1122069269.6091142,925116474.1735396,749918073.8489113,744512014.6107283,876763478.0530715,699966413.0891969,578550579.4612151
EIF4A2,8160631222.358045,7220674998.416492,8046097733.311832,4803157727.914711,5059388086.834244,4303988508.413975,4297241763.031411
