Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
ACAA1,1235961424.26783,1347829488.0174437,1051754259.1561294,935953714.0565587,1186250556.5713668,1224345524.3748157,536467278.0327474
ACAA2,2605040322.6282363,4343585532.284605,4044820602.751512,4414807032.681756,3912127401.620694,4080385535.765758,2948967701.6517096
ACACB;ACACA,1252902018.7531707,1088867138.4981797,1120720995.6320534,864581314.0182161,934214376.493885,944334352.2597193,740879681.1707691
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,94435942.09327953,9753423.226585682,9753423.226585682,9753423.226585682
ACAD8,529197426.638993,80561262.17360444,134130718.10294926,479508731.21229166,579887579.128463,368002653.00423235,461486214.4721852
ACAD9,1336629817.1161969,1177721386.2989144,1575053797.0251262,890859090.5390673,871463560.1487161,1285332379.7210464,910497825.4440683
ACADM,794649311.3232841,825906468.0797607,630537895.7749282,1056965074.8199888,1020262935.6789496,990749573.3853718,947954087.1660824
ACADS,260126482.74773395,627578037.6964115,503504127.43654346,638780486.914285,590332243.3577139,652983276.2926548,460036907.6747175
ACADSB,648196486.8847772,821582807.675494,449548602.57917583,964413625.5439236,1062059078.8753697,954954772.7171882,816656868.2089549
ACADVL,2474308246.643392,2862268388.140278,2898506031.29352,3112113404.0013657,3152536544.08796,2688235265.0773053,3955129446.6083736
ACAN,219155762.23979414,69340619.48516503,39454127.56264981,26131166.978688426,213980398.9536908,26131166.978688426,26131166.978688426
ACAP1;ACAP2,64510658.67412353,46935987.05182618,7089641.446362237,17933200.793668076,17933200.793668076,17933200.793668076,17933200.793668076
ACAT1,10218755739.083109,9037548319.996208,7746474616.009088,8346145871.22826,9030830698.282259,10061136804.931484,9149252022.444473
ACAT2,5613568642.49493,4430374266.075932,4729905342.698978,2162304715.921829,2653410336.35978,3814953561.832176,2263318165.987437
ACBD3,46208610.45069302,9994137.391849514,9994137.391849514,11501930.977750698,11501930.977750698,80235110.80250944,11501930.977750698
ACBD5;ACBD4,23200120.839453354,9373102.3618768,56682545.0546981,11637087.561099174,11637087.561099174,11637087.561099174,11637087.561099174
ACBD7,103051061.50389639,270210788.88785744,237003056.27798432,910919120.5867531,304779734.7129959,464644162.3772239,210336329.57752985
ACE,9667097.55779064,9667097.55779064,9667097.55779064,11984967.172106508,11984967.172106508,11984967.172106508,11984967.172106508
ACHE;CES4A,128899097.75004388,84502030.74500187,130160702.5005545,18567157.460384306,18567157.460384306,18567157.460384306,18567157.460384306
ACIN1,17392838.305141892,10485538.809148565,10485538.809148565,63743300.16015827,150292226.9354623,133979516.74892958,11541802.73615041
ACLY,8063009767.455659,8219117889.118632,8549329922.014025,7609439188.770721,7669104080.589337,7192982789.919454,7243857911.071475
ACO1,1431354826.737126,1136393924.2655478,1441565899.3585832,1672632246.31968,1691520961.1931272,1821145704.473173,1672382098.378701
ACO2,42955222486.017075,55739102408.90596,51295835057.960106,57791245213.26981,59945814465.53437,61443984665.90888,60107300118.67562
ACOT1,1971715557.1268926,2987937959.5132794,3644366617.21027,2196190141.9853244,2557142452.836946,3018760201.2309456,1108199025.4357789
ACOT13,4029970651.7103148,3711008287.2843943,3014504007.80898,3897854886.4616075,3831984827.0715814,3648789528.734344,59264918.70415559
ACOT7,13827985607.612654,12329708483.23207,11724190355.875393,16193311451.769716,15094466559.351013,13637007055.64875,13995710878.276323
ACOT8,142916326.40683934,93848668.38196196,108061705.40675046,121278932.12730189,102302867.74793199,216121019.57270214,19686530.43578627
ACOT9,2698740081.1173096,2379018114.0189943,2852987448.3953304,2516892708.5196266,1844739329.3269749,2143351811.3004427,1706604295.455396
ACOX1,631777190.9211916,885383898.5405351,411466420.8680123,464281938.3213772,294847041.14845455,439672739.4837307,139795238.1584488
ACOX3,202790715.4635502,6951497.605463447,174808693.23631108,30254387.93422983,30254387.93422983,30254387.93422983,30254387.93422983
ACP1,1409139849.7464495,1892504529.0245798,1614390404.9774907,1644235634.2489746,2008252429.3746657,1893508487.7118618,1718837248.8841727
ACP2,100426117.71304718,65809987.11968631,51959309.0222128,35208292.568181045,35208292.568181045,196757140.876668,207776279.83268064
ACSBG1,137705919.6990938,138268670.6349821,103151763.77443157,398857719.8560001,33156806.500695627,289191081.48875445,33156806.500695627
ACSF2,19648329.131926842,29439314.360757284,8906506.992405523,17289681.040632173,17289681.040632173,17289681.040632173,17289681.040632173
ACSF3,594519864.5160981,830198723.3491555,117913066.99670742,53583681.82468526,337183801.96429724,425476241.0208759,53583681.82468526
ACSL1,421168596.0944572,148753027.78063074,174462159.90630418,338872658.2151158,296298809.342896,294396828.16727203,224969746.21557966
ACSL3,1731388581.0194595,1742891817.1474414,1150130383.105059,1349967369.037424,1321913435.08735,1361600062.890502,1123999805.288954
ACSL4,160727756.31531164,119127347.1565591,81190597.68906945,223656767.87514827,131371925.151489,287681062.7336472,21583353.91139081
ACSL6,3433481223.633632,3705610110.0282173,3575282054.986724,3757961422.32351,3463394702.263816,4195582623.8727865,3564479519.3207445
ACSS1,1746440291.82375,4315660635.969336,1836675958.2688198,1089392237.0770526,1351062231.21248,1573719908.71855,861815984.3256876
ACSS2,68580368.67190193,70969412.6534432,66574623.829754524,143076412.168103,19477226.855052877,141045561.634242,19477226.855052877
ACSS3,69452755.92204186,168934981.4671453,90833608.72496787,234878829.89518517,228530587.2338446,319681500.6372481,258982361.7899423
ACTA2,29232839.63950525,135913780.61663768,109479167.92994738,29995839.69087141,29995839.69087141,29995839.69087141,29995839.69087141
ACTB,563040307399.3071,451375082902.2341,473315283281.5913,472296538381.95355,413560855457.072,503174170825.9076,397898286211.69275
ACTBL2,834618152.4962869,9079817.788581843,9079817.788581843,13337037.669278448,13337037.669278448,13337037.669278448,13337037.669278448
ACTC1,25777483364.081375,38176584334.97877,27700948840.08304,37329117511.63174,24601505507.968605,25485377293.281525,31646192885.05243
ACTG1,2800277458.1226416,2249770870.8316956,2026986209.9568272,2781985940.885513,1601231978.5180626,75261184.17212535,918683064.2252084
ACTL6A,9739018.706094753,9739018.706094753,9739018.706094753,23337808.441561338,23337808.441561338,23337808.441561338,23337808.441561338
ACTL6B,143780551.59770095,59069049.8896721,20981910.10000271,50884588.73908358,50884588.73908358,282803934.3216308,50884588.73908358
