Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
ACSS1,759227334.27826,1306552262.7220626,1265803820.0756938,1091984865.6205251,1355171636.2631204,1582888394.774881,1290270717.0911822
ACSS2,23637345.872949727,71249198.43091409,7665062.1454235865,19477226.855052877,19477226.855052877,19477226.855052877,19477226.855052877
ACSS3,115424133.44811054,167064837.99762034,90674086.55094369,270607019.9781529,165028342.63105264,134755802.99387792,22591228.391548846
ACTA2,22051740.10110416,130549165.06154625,83185579.67116871,29995839.69087141,29995839.69087141,29995839.69087141,29995839.69087141
ACTB,568402391090.6525,551881515090.566,522376323635.0954,513373713815.15753,429636683233.28906,483972582664.706,454658682382.1306
ACTBL2,9079817.788581843,9079817.788581843,782660394.1849892,13337037.669278448,13337037.669278448,13337037.669278448,5450279266.084718
ACTC1,17778901916.259686,37382302430.77363,26771288040.81616,73453662773.56201,22563461323.526947,23128695043.493973,37876806736.65506
ACTG1,3579385606.75918,2611403018.051265,2271212289.573623,7842050868.826589,5050306842.072911,8112194610.822937,75261184.17212535
ACTL6A,9739018.706094753,9739018.706094753,9739018.706094753,23337808.441561338,23337808.441561338,23337808.441561338,23337808.441561338
ACTL6B,303569128.08895516,140521431.87996507,157778648.29598576,496223289.6390458,473518932.94439894,377827339.52404016,50884588.73908358
ACTN1,21273970368.620937,25396838238.537643,33977057527.40842,34206624969.180435,24322677520.48907,28352809662.596622,23884845583.669083
ACTN2,5515893880.446064,3657671408.4736323,6094434466.004004,6764162853.587368,7438951732.399757,7872089884.863806,4577845846.121098
ACTN4,12179767165.880697,12104340264.024702,13387261051.181791,11437659359.810305,9557012235.043137,7850287228.072253,8421188022.671752
ACTR10,971272558.5533663,1001583923.4344476,589437588.7660317,826158875.9050454,963409473.611189,950121599.9450994,987350775.6911417
ACTR1A,7500839884.282467,8754242214.327724,6605504920.39148,7719055266.842617,8071494340.732962,7265185178.8394165,7146025823.935329
ACTR1B,1191612687.9207532,1548929916.7046506,2279561485.4518228,2198598337.824411,2370632211.066405,2370891840.373744,2156539597.533652
ACTR2,6780442548.666014,5498233289.870628,5546442988.943366,5437284793.178493,4587216314.714925,5344797794.049978,4349870299.02462
ACTR3,8944752697.628902,6400457770.524557,6497981394.399397,7019117015.766482,7190548767.738329,6326707748.094749,6511038061.431732
ACTR3B,3495310025.4624805,2570262731.1773257,3047389593.8724203,3463451622.588283,2590502784.253905,2878637033.7242045,2097471859.1340172
ACVR1,10025189.613764832,10025189.613764832,10025189.613764832,9864818.325083673,9864818.325083673,9864818.325083673,9864818.325083673
ACY1,25800887.57427287,99917243.04246524,88361510.53452422,155345948.88578182,133652012.57875046,146441218.40624055,196636158.22249597
ACY3,42239107.72785937,10589080.560993312,10589080.560993312,10603633.355230613,10603633.355230613,10603633.355230613,106196980.05474807
ACYP1,639371635.3251175,582111419.9186667,508160135.8336458,474642623.1512727,364498063.37685245,482226605.0758279,430737046.86285764
ACYP2,1291052865.2272148,1970117973.413996,1058091612.8770422,1627151198.054537,1825506862.4931853,1318802721.839218,1798582552.3353713
ADA,70303947.22838405,147678260.78433537,41202416.014023416,20285815.31091,20285815.31091,20285815.31091,20285815.31091
ADAM10,70709720.29214258,485675459.3477068,367760718.981693,250129369.91263354,478898881.2570554,335257014.2257607,519494676.73752004
ADAM11,182752306.91866615,136992235.26661688,229591320.28248405,626046192.2258217,43097430.26369757,43097430.26369757,43097430.26369757
ADAM22,1251074100.4927225,2061094025.9448147,2563783866.1419826,2059144208.8591921,1663354071.5681481,2098057639.4846945,1707259367.0607078
ADAM23,738562609.7350229,1048934688.3486029,1204402970.8557684,1257760389.433803,1068262420.0463217,999284469.6765658,932274389.5310334
