Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y
EPN1,1833027808.2580314,2076830623.156263,1955287483.9188514,1914423060.9276378,1609995227.2886436,1875955032.368343,1856248934.1868756
EPN2,184021973.0215076,267992227.1322762,209265718.5027191,198811343.98694196,261510583.5400662,15636144.555031162,163067598.6187782
EPPK1,56255910.87953024,9478197.862720283,9478197.862720283,14034073.971502043,14034073.971502043,14034073.971502043,14034073.971502043
EPRS,2137575154.1271276,1524368086.159573,1644835424.3805969,2191213821.7522798,1968669299.4053056,2070438892.7794836,2228436963.1366506
EPS15,17467647.652692184,103953429.16541794,5744128.158744201,23952894.425471246,23952894.425471246,23952894.425471246,23952894.425471246
EPS15L1,1063571627.1237777,819028184.8518544,801078991.8638165,1080118990.626944,1229115943.8730721,1000972329.3315935,918821489.7754601
EPS8,9823336.196222356,9823336.196222356,9823336.196222356,9717610.70270289,9717610.70270289,9717610.70270289,9717610.70270289
EPS8L2,9844782.999917867,9844782.999917867,9844782.999917867,11608744.267561262,11608744.267561262,11608744.267561262,11608744.267561262
EPT1,9975164.186498819,9975164.186498819,9975164.186498819,9619325.810155168,9619325.810155168,9619325.810155168,9619325.810155168
ERAP1,92073360.64811611,83155381.85383864,83185173.37353426,119653970.1243954,21876969.871369593,66738697.60282125,88042383.79546577
ERC1,125697008.04933152,19436698.943633955,216898931.7132608,40169413.02908419,40169413.02908419,387773122.78832746,349098199.488928
ERC2,1071813458.9401753,631226574.5167948,1072119020.71289,1354426639.2100878,976782122.142,1096875564.1139417,1178371362.5725057
ERCC3,9657284.396661153,9657284.396661153,9657284.396661153,9532158.551584205,9532158.551584205,9532158.551584205,9532158.551584205
ERGIC1,165991220.18453342,99781612.82498033,122484872.11872031,127203463.74675973,194768426.73172763,103593749.2794176,15411739.884893008
ERH,412626196.95402527,329902030.5195701,307309623.8954564,374290603.44447434,138014319.46504992,267799262.1536265,287919485.2483466
ERI3,891769907.3403683,688991693.5400765,634071293.9561236,640877671.6331885,897115800.3392004,840419962.9728414,588148987.3409292
ERLEC1,27828712.298629913,8246996.895930662,46415586.254154064,17032964.611172564,17032964.611172564,143050146.26626608,17032964.611172564
ERLIN1,10239145.25856142,10239145.25856142,10239145.25856142,9735749.795775613,9735749.795775613,9735749.795775613,9735749.795775613
ERLIN2,726786577.3547791,955807810.5229814,624783277.3403909,647813067.9077425,1173139778.2917352,922838128.3401549,949408564.4604684
ERMN,798148773.0242504,2148526846.5188413,1049601351.8787161,1016948614.5770737,2177518287.2995887,638533579.3829589,455521162.88458085
ERMP1,136527381.3143581,89346995.55601339,130558237.26121916,29759238.47340517,154300304.8867818,132263527.87751307,164063217.01024732
ERO1L,599797580.0946273,383623493.8914334,703636570.3317277,553490985.9064634,633766888.3647453,620677746.9772854,672772078.3432219
ERP29,1167903790.1820493,847601969.3579776,1133441888.551235,1237402879.4695008,1221973838.7747517,1252204992.0089078,1283981721.9440064
ERP44,683017727.0314064,485154373.77934843,633033485.8635422,663096510.5411671,673780996.7175943,663446683.288574,763954909.4958631
ESD,4426082626.861545,5828847827.056209,3600184448.693582,5336407475.771683,6867657216.374944,5805655457.302757,3763686241.1219134
ESPN,15152964.211152855,15152964.211152855,15152964.211152855,10050337.665977145,10050337.665977145,10050337.665977145,10050337.665977145
ESYT1,679066733.7697562,735668511.9707471,858102493.1848757,718745945.4723243,778420761.6492652,476981317.01698494,656609498.7507701
ESYT2,431018926.83488566,698626950.6052988,619763930.0248158,692893308.7742342,516104264.49813855,566869444.8894557,670417521.737304
ETF1,741096142.8166356,419239273.09136266,468038068.3586284,507147302.81602174,493379048.1700744,275613973.9305349,495808674.76614743
ETFA,4745245820.120461,4460724803.081265,5068360872.202493,5058469343.189843,4276863105.363099,5205906817.006267,5561360129.375221
ETFB,3874854310.1462317,3270507640.801402,4010559262.2512755,4470015378.833971,3811745736.4557843,4509710620.227229,4767362339.712781
