,genes,avg_scores
178,KLC2,4.451168355861666
179,PEX3,4.1680921231730945
180,P2RX7,4.632762139692167
181,GGA2,4.269948104975167
182,TP53INP1,4.372795096112083
183,SLFN11,3.8089967555663606
184,TYMP,4.3467359398308325
185,LHPP,4.582508191630916
186,TFRC,4.427404423486417
187,TXLNA,4.465829559530916
188,LTF,4.321248381528332
189,GABPA,4.518558395784833
190,ENY2,4.056686870586742
191,CADM4,4.6329385236246665
192,BBS2,4.2153109303555
193,EXOSC10,4.241028382191071
194,JAG1,4.416179244577704
195,POLR2J,4.29226745301719
196,SQLE,4.186495548911443
197,DHX15,4.479834264956
198,LTK,4.226122947594888
199,SEMA6A,4.020674540660563
200,SPIN3,5.476559717090249
201,MLIP,4.660035823039165
202,BRWD3,4.290430459421786
203,LRCH4,4.300237873377499
204,EDA,4.403292222788499
205,HSD11B1L,4.609764918253833
206,ZNF16,4.355372751936667
207,RGS20,4.6464524713839985
208,GOLGA2,4.104129466446583
209,ACADSB,4.439188530331166
210,BCL10,4.517480349278
211,SYCP2L,4.343613199398657
212,ZNF283,3.981982321366288
213,PAF1,4.331400977128666
214,NASP,4.627977513135082
215,SULF1,4.153701332743999
216,RPTN,3.444211418005833
217,SSBP4,4.322826584628583
218,SCARA5,4.135935273613583
219,ANO5,4.535507436439
220,MAFG,4.455567033114175
221,MAFK,4.639004549875
222,FICD,4.366554561450445
223,GPRC5B,4.461049137567892
224,VWA1,4.225499615117451
225,MPLKIP,4.849953968787094
226,LYPD3,4.417227119266444
227,KLF1,4.216879357319416
228,UNK,4.161433857831785
229,LIMK2,4.566666145116905
230,SHISA6,4.317859201530333
231,SP1,4.600830123908667
232,DENND1C,4.0946465566759995
233,ALDOA,4.4678040139845
234,BTRC,4.2610253269549165
235,RAB37,4.656244202952832
236,RET,4.798977730916833
237,FMN1,4.5274236499245
238,ZDHHC3,4.414322572697416
239,ESYT2,4.514691015776333
240,CRK,4.4158064338005
241,PPP1CC,4.369320131293499
242,PDK1,3.989525656343571
243,BBS12,4.119551945365687
244,GRWD1,4.243324011696999
245,NRBP2,4.498479852658167
246,TP53I3,4.267686046832999
247,IFT43,4.384241554677
248,AXL,4.600303243059595
249,ARSG,4.188317842339249
250,RPL14,4.578894692685416
251,YY1,4.2602839667309516
252,GNPTAB,4.587362898795554
253,SSBP2,4.092159914785166
254,DPP6,4.713190563765666
255,DUSP26,4.532233240784583
256,ZNF792,4.412715336264631
257,RASEF,4.381172642160833
258,NKIRAS2,4.612882617780166
259,MEX3B,4.5095898597779165
260,CACNB3,4.219857093721535
261,GRAMD1A,4.29924906549
262,SEC61B,4.526703170437499
263,KLHL40,4.517511392068331
264,FOSB,4.367976376756916
265,RPL19,4.6771360129824995
266,REST,4.111414749989555
267,AFF3,4.453348381511166
268,CREB3L4,4.193307754725638
269,TBX3,4.361212687397429
270,ETS2,4.341240651550833
271,ITGB5,4.489953539124392
272,MAFF,4.372182626257178
273,TRIM63,4.3157206564275
274,RBM23,4.543035191067499
275,TNNI2,4.663512942245665
276,EDARADD,4.3178890634665
277,TXNL1,4.665616734631
278,BTG3,4.492861654348166
279,KCND3,4.5218582584636655
280,CUL4A,4.171727554468999
281,TUT1,4.166686319444333
282,MYO15B,4.42571817958
283,TRAPPC2L,4.326438119951999
284,DMRTB1,2.7831198355404996
285,PABPC5,4.515840467345416
286,SLC7A3,4.403100561107142
287,TRIM24,4.441851765184083
288,LRBA,4.860477654715516
289,SSTR4,4.5966687992179995
290,ZNF628,4.435628437854333
291,VDAC2,4.191465650295222
292,RPS17,4.588308159816499
293,LGALS9B,4.375340317095333
294,JADE3,4.458296992898832
295,NLRP14,4.4625809624288335
296,ZNF385A,4.374982577372389
297,DDR2,4.3327501762655
298,CYP1A1,4.201815923452118
299,RPN1,4.449784328362833
300,ACTA2,4.654191085879363
301,MAP3K11,4.54287287923625
302,UTP6,4.0976395787485
