,genes
220,DCTN3
221,STRN3
222,GOT2
223,NDUFC2
224,OSBP2
225,KRT17
226,OSTF1
227,SEC63
228,TOLLIP
229,TGS1
230,PRPF8
231,PGAM2
232,KRT5
233,CYTH2
234,CCNYL1
235,GLUD1
236,CBS
237,HIBADH
238,MDH2
239,ISYNA1
240,SLC27A1
241,BSN
242,AKAP5
243,CAPRIN1
244,CDH15
245,PREX1
246,DNAJA4
247,BBOX1
248,SH3GLB1
249,SLC9B2
250,TPD52L1
251,TBCEL
252,LRRC7
253,ARL6IP5
254,HNRNPA3
255,ALDOA
256,ARHGAP39
257,HMGB1
258,CELF2
259,STX5
260,SCYL2
261,ARHGAP5
262,ADCY8
263,CNNM2
264,LMCD1
265,BAX
266,DAB2IP
267,IFIT3
268,GPI
269,MIPEP
270,PDE1A
271,CALB2
272,EIF4G2
273,ANKRD13D
274,RPL32
275,ABR
276,ATP2B1
277,ABHD11
278,GABRA1
279,SCRIB
280,OTUB1
281,ATP6V1A
282,NUDCD3
283,CTBP1
284,GOLGA2
285,RBBP7
286,DCPS
287,COX6B1
288,RAB15
289,SLC25A36
290,CAPNS1
291,NUP205
292,RHEB
293,CENPF
294,BAG6
295,LGALS1
296,SLC7A11
297,TTR
298,SCYL1
299,ESYT1
300,SEC14L2
301,HP
302,RPL8
303,PRKAG2
304,AQP4
305,HSD17B12
306,BCS1L
307,DLG4
308,VPS41
309,PAK2
310,ATP2A2
311,GRIA4
312,STRBP
313,MAP4K3
314,PTPN13
315,CAP1
316,DDX21
317,FARSA
318,NUP93
319,SLC7A5
320,RAB23
321,AIDA
322,TLN1
323,PSMB5
324,MZT2B
325,SNRPF
326,USP24
327,INF2
328,CNTN3
329,UMPS
330,BRD4
331,COPB1
332,AGO2
333,SPTA1
334,RNH1
335,DLST
336,RPL17
337,RIMS2
338,GNAS
339,XPOT
340,FNTB
341,CTPS2
342,CSRP2
343,PARP1
344,ICA1
345,ZDHHC14
346,ARPC5
347,PTPRG
348,GRIA3
349,NLGN3
350,SLC25A26
351,CUL1
352,GMPR
353,MRPL11
354,XRCC6
355,COPG2
356,PICALM
357,CABP1
358,MAP4
359,NARS2
360,SEC24C
361,NDUFV3
