,genes
1697,CNOT1
1698,PLCB4
1699,EIF2B2
1700,G3BP2
1701,DNAJC11
1702,MPP6
1703,PPP5C
1704,SLTM
1705,ANXA1
1706,FOLH1
1707,COX5B
1708,PTPN2
1709,CSDC2
1710,SLIRP
1711,NDUFAF2
1712,PPP4R1
1713,CLASP1
1714,SRSF5
1715,UCHL3
1716,SEC24B
1717,LCMT1
1718,SAMHD1
1719,SPG7
1720,SCP2
1721,ZNRF2
1722,MRPL47
1723,ACOT13
1724,FBXO3
1725,DCC
1726,SNX5
1727,CALU
1728,RAB2A
1729,TTC7B
1730,CCT2
1731,KDM4B
1732,LRRC8C
1733,NAE1
1734,PELO
1735,SCFD1
1736,ATOX1
1737,PSD3
1738,ATP13A1
1739,NSUN2
1740,HMBS
1741,MDGA1
1742,ATP6V1G1
1743,GRIN2B
1744,PLEKHA5
1745,MCCC1
1746,SET
1747,ENO1
1748,MKLN1
1749,CCS
1750,HNRNPD
1751,NDRG2
1752,FBXW9
1753,SPP1
1754,PODXL2
1755,HABP4
1756,DHRS2
1757,AHCY
1758,CYBRD1
1759,FYN
1760,DNPH1
1761,HTATSF1
1762,RIT2
1763,FLYWCH1
1764,DNAJC13
1765,CLPB
1766,PFAS
1767,DEGS1
1768,DOCK11
1769,NDUFB2
1770,NT5C
1771,PSME3
1772,AGTPBP1
1773,ADH1B
1774,CARM1
1775,MSH6
1776,ARFIP1
1777,BUB3
1778,CADPS2
1779,GNA11
1780,GPCPD1
1781,NOVA2
1782,RABGAP1L
1783,RTN4IP1
1784,SLITRK1
1785,UGDH
1786,NPDC1
1787,GALNT16
1788,MCM7
1789,PPM1G
1790,C1QBP
1791,EPB41L1
1792,ENSA
1793,LRRC8A
1794,SF3B1
1795,SORBS2
1796,SBF1
1797,DNAJB5
1798,ABL2
1799,FLAD1
1800,NANS
1801,GUCY1A2
1802,FGF12
1803,HMGCL
1804,CNR1
1805,COPE
1806,FDX1
1807,ANKS1B
1808,NUDT9
1809,NDUFB7
1810,DGKH
1811,SMARCB1
1812,SPARCL1
1813,FBXO44
1814,AP1S1
1815,HBD
1816,RAB12
1817,SORBS3
1818,ACTR1B
1819,RPAP1
1820,RPE
1821,HBZ
1822,MYLK
1823,ASS1
1824,MTMR10
1825,OMA1
1826,PPIB
1827,PPP4C
1828,PRMT1
1829,RAPGEF1
1830,SARS2
1831,SYT3
1832,VPS18
1833,SNRNP40
1834,SYT7
1835,RIMBP2
1836,XRN2
1837,GLB1L
1838,MPP2
1839,VPS25
1840,SERPINB6
1841,AGO1
1842,GLRX3
1843,COQ9
1844,ETF1
1845,MPC1
1846,SEC62
1847,ANO3
1848,AP1AR
1849,LIN7A
1850,USP9X
1851,USP4
1852,AKAP9
1853,CAMK1G
1854,KIF3B
1855,MCM3
1856,CELSR2
1857,ITPR1
1858,PLD3
1859,COPS5
1860,GIT2
1861,HNRNPA0
1862,ANK2
1863,MPI
1864,PSMD1
1865,SOD1
1866,FARP1
1867,BDH1
1868,ALDH4A1
1869,FIS1
1870,VDAC1
1871,WTAP
1872,AP3M1
1873,KPNB1
1874,NUDCD1
1875,PPM1F
1876,MTMR9
1877,DIABLO
1878,STAG2
1879,CDC42EP4
1880,RHOG
1881,RUFY1
1882,EHBP1
1883,BHMT2
1884,ACIN1
1885,ETHE1
1886,SQSTM1
1887,ATP6V1F
1888,CLVS2
1889,RPS15A
1890,PRNP
1891,PHC2
1892,AP2B1
1893,CSK
1894,DDX1
1895,DOCK7
1896,GSTM1
1897,TECPR1
1898,ASAP1
1899,TUSC2
1900,THBS1
1901,SAT2
1902,ZNF512
1903,EPB41L3
1904,AADAT
1905,HTRA1
1906,CNPY2
1907,RBM14
1908,RPL29
1909,SPCS1
1910,VPS33A
1911,SCO2
1912,TBCA
1913,AKTIP
1914,LRP1
1915,DMXL2
1916,RBM4
1917,TMEM70
1918,CDK2
1919,SUCLG2
1920,UBQLN1
1921,STRADA
1922,APOB
1923,DBNL
1924,PSMD10
1925,PMP2
1926,DCUN1D5
1927,PITRM1
1928,UBR3
1929,LIMS1
1930,LZTFL1
1931,CTNNBL1
1932,PCDH10
1933,RFTN1
1934,ACAD10
1935,SLC25A18
1936,NRIP2
1937,PPIAL4D
1938,CST3
1939,LRRC4B
1940,SEH1L
1941,DGUOK
1942,PSMD4
1943,RAB6B
1944,SNRPB
1945,RPL11
1946,BLMH
1947,ABCF1
1948,AKAP7
1949,CDH6
1950,LZTS1
1951,AMACR
1952,FLOT2
1953,MIF
1954,TNC
1955,PRMT5
1956,IGSF3
1957,EML1
1958,MPST
1959,PGM3
1960,SYT17
1961,TRAPPC8
1962,RHOT1
1963,ALDOC
1964,MOCS2
1965,EIF2S3
1966,SLC13A5
1967,RPH3A
1968,BRCC3
1969,KIAA1549
1970,PLA2G6
1971,MRPL4
1972,RICTOR
1973,ADAM11
1974,COASY
1975,SUPT16H
1976,STX16
1977,HEXA
1978,RBP1
1979,GABARAPL2
1980,PDHB
1981,GBA2
1982,ILF2
1983,PARD3
1984,TTC37
1985,IQGAP1
1986,IVD
1987,BAG5
1988,GDA
1989,DNA2
1990,KAZN
1991,PTEN
1992,PURG
1993,EHD4
1994,SUMO2
1995,GLS2
1996,GUK1
1997,JAKMIP1
1998,DBT
1999,DLAT
2000,CHMP4B
2001,COPB2
2002,TUBB
2003,ACTC1
2004,PAX6
2005,CD47
2006,MOG
2007,ATRX
2008,KCNJ10
2009,GPM6B
2010,BZW1
2011,SRP54
2012,DDTL
2013,ARSB
2014,UNC119
2015,RING1
2016,SMAP1
2017,CARTPT
2018,RSU1
2019,ACOT7
2020,TBL1XR1
2021,RAB35
2022,SNPH
2023,PSMC5
2024,TSN
2025,RPL14
2026,RAP1A
2027,VPS36
2028,PTMA
2029,DYNLRB1
2030,GIMAP6
2031,HSPB1
2032,DNM2
2033,SLC41A3
2034,YIF1B
2035,ATG2B
2036,PHB
2037,ATP2B3
2038,HNRNPR
2039,ACACB
2040,CACNB3
2041,SYNE2
2042,CLSTN1
2043,AARS2
2044,RAB22A
2045,RER1
2046,RETSAT
2047,CAPZA1
2048,AKT2
2049,DLGAP4
2050,FGG
2051,BICD2
2052,DPP8
2053,XYLT1
2054,RBFOX1
2055,RAB18
2056,NAPA
2057,DNMT1
2058,PDCD5
2059,RRAS2
2060,DIP2B
2061,TBRG4
2062,HPX
2063,MRPS5
2064,SMCHD1
2065,MRPS7
2066,NEK6
2067,FADS2
2068,PYGM
2069,RYR2
2070,FAF2
2071,NCOA7
2072,TMOD2
2073,VPS28
2074,TBCB
2075,SLC3A2
2076,USP32
2077,LRRC14
2078,EXD2
2079,BIN1
2080,ITGAM
2081,STAT3
2082,ABHD12
2083,DYNC1I2
2084,PTBP1
2085,SCN1A
2086,ACTN4
2087,NFKB1
2088,RPL18
2089,RILPL2
2090,TRIM59
2091,GMPR2
2092,PSMC1
2093,ATIC
2094,MAPK9
2095,CYFIP2
2096,ACAD8
2097,GPD2
2098,MAG
2099,SLC39A6
2100,SHPK
2101,NXF1
2102,NPEPL1
2103,CNNM1
2104,TNIK
2105,SCCPDH
2106,OGDH
2107,SDHB
2108,ARRB1
2109,ITPA
2110,GNPDA1
2111,TRAP1
2112,CSNK2A1
2113,NLGN2
2114,KCTD8
2115,ASPH
2116,EFNB2
2117,POMGNT2
2118,PTK7
2119,SAFB2
2120,UBTF
2121,GPM6A
2122,RUVBL1
2123,RRM1
2124,TMSB10
2125,MLEC
2126,AGAP3
2127,RANBP3
2128,NEDD8
2129,PAICS
2130,CLCN3
2131,TIAM1
2132,NDUFA8
2133,DRAP1
2134,PURB
2135,SLC12A8
2136,CREM
2137,PIEZO1
2138,ADCY2
2139,TUFM
2140,FGFR1
2141,GRIN2A
2142,MYADM
2143,IFIT5
2144,SMC3
2145,RPL37A
2146,UQCRC1
2147,RCN1
2148,UCHL1
2149,PHLPP1
2150,MRPS22
2151,OPLAH
2152,PRKAG1
2153,RASAL2
2154,SORT1
2155,SNX1
2156,PITPNA
2157,CDC42SE2
2158,HSD17B10
2159,CSMD2
2160,CBL
2161,MTMR12
2162,ILKAP
2163,ANXA7
2164,STK24
2165,MPRIP
2166,SLC12A5
2167,ADO
2168,SCN2A
2169,NUP62
2170,RPS8
2171,SLC6A1
2172,ATCAY
2173,GRM4
2174,LAMTOR5
2175,MGARP
2176,SPOCK1
2177,WDR47
2178,SMARCA2
2179,ATP9A
2180,ERCC3
2181,DEPDC5
2182,HMGB3
2183,NIPSNAP1
2184,RANBP2
2185,SH3GL3
2186,TBC1D17
2187,APOE
2188,SNRPA
2189,TRRAP
2190,EXOC5
2191,EIF4G1
2192,CAV1
2193,AP3M2
2194,APRT
2195,IGF2R
2196,CYB5R1
2197,RBM15
2198,NDUFB9
2199,PPFIA3
2200,PLXND1
2201,SF3A1
2202,GAP43
2203,GABRA5
2204,SCG3
2205,AGPAT4
2206,U2AF1L4
2207,LRRC40
2208,WDFY1
2209,MT1G
2210,RAP1GDS1
2211,PSMD7
2212,G3BP1
2213,SLC27A4
2214,THEMIS
2215,EIF1B
2216,FOXK1
2217,TUBA1B
2218,PI4K2A
2219,SRP14
2220,MTAP
2221,MAPK3
2222,ASMTL
2223,XYLB
2224,AK1
2225,EXOC3
2226,SLC25A20
2227,NECAB1
2228,SERPING1
2229,PRPSAP2
2230,APLP1
2231,TP53BP1
2232,CRTAC1
2233,RPL10
2234,ARID2
2235,EIF3F
2236,BCR
2237,ERLIN2
2238,TMEM109
2239,SHROOM1
2240,WDR61
2241,ZNF776
2242,SRSF1
2243,PLXNB2
2244,EMC1
2245,AIFM1
2246,SCN5A
2247,MYO18A
2248,ARHGEF10L
2249,PRAF2
2250,ADAR
2251,AHNAK
2252,HSPB6
2253,DPY30
2254,CTPS1
2255,EEF1B2
2256,AP3B2
2257,PRKCD
2258,PRDX4
2259,GSTK1
2260,NDUFA3
2261,MAPK10
2262,TOMM20
2263,UTY
2264,PHYHIPL
2265,OGDHL
2266,AP3D1
2267,PLEKHA2
2268,SNX15
2269,REPS1
2270,ACADSB
2271,ACBD5
2272,EIF2B4
2273,MTSS1
2274,POLDIP3
2275,ARHGAP21
2276,MOB1B
2277,ARHGEF17
2278,NOMO3
2279,PPP1R1B
2280,CLTB
2281,MBP
2282,ADAP1
2283,FABP7
2284,EIF4A3
2285,MPP7
2286,LUC7L
2287,PNPT1
2288,RAE1
2289,HACE1
2290,KHDRBS1
2291,GRM6
2292,PGM5
2293,HSPA4
2294,NPC1
2295,LAMB1
2296,FRY
2297,RPS14
2298,HINT3
2299,CAMK2A
2300,LYST
2301,PSAP
2302,MBNL2
2303,UPF1
2304,LYSMD1
2305,PTGES3
2306,SSH1
2307,ZRANB2
2308,NUMB
2309,PPM1A
2310,GMDS
2311,CHMP2A
2312,ACTA2
2313,RABEP1
2314,SLC1A1
2315,IGBP1
2316,RPS15
2317,BID
2318,SLC25A4
2319,NRBP2
2320,TANC1
2321,ADNP
2322,TIMM13
2323,ADA
2324,GTPBP1
2325,TOMM40
2326,NDUFA6
2327,GRPEL1
2328,CTNND1
2329,ZIC1
2330,CDS2
2331,GSTO1
2332,MRPS14
2333,HSD17B4
2334,COPG1
2335,CMC1
2336,GDI1
2337,GFM1
2338,ATP6V1E1
2339,CYC1
2340,HBS1L
2341,CASKIN1
2342,RPS27L
2343,PPID
2344,ROCK2
2345,ALYREF
2346,MECP2
2347,UBE3C
2348,MRPL46
2349,AGPAT5
2350,EIF2B3
2351,LAMA2
2352,PXK
2353,SAP18
2354,RSF1
2355,SERPINB1
2356,DLG2
2357,MACROD2
2358,PIK3R2
2359,PSMC4
2360,SLC12A4
2361,ACSL1
2362,CSNK1D
2363,ERC1
2364,STARD10
2365,MYL12A
2366,MYO9A
2367,S100A6
2368,VWA5A
2369,ACE
2370,SOD2
2371,CES1
2372,GLYR1
2373,STX1A
2374,TANC2
2375,DCLK2
2376,CTNNA1
2377,SRXN1
2378,TSFM
2379,GAPDH
2380,URB1
2381,BTF3
2382,HSPA5
2383,HSPA4L
2384,NLGN1
2385,OLFM3
2386,SHMT2
2387,SLC6A3
2388,TPP2
2389,FABP3
2390,ABCD2
2391,PLS3
2392,UBR1
2393,NRP1
2394,GRHPR
2395,ILDR2
2396,RCN2
2397,PDPK1
2398,TCERG1
2399,U2SURP
2400,UBE4B
2401,API5
2402,PPM1E
2403,DDX50
2404,ARPC2
2405,FUNDC2
2406,NOL11
2407,KCNC3
2408,CHN2
2409,EPB41L4B
2410,CADM3
2411,IFIT1
2412,LETMD1
2413,NCBP1
2414,PGD
2415,TAGLN2
2416,ATAD1
2417,EXOC7
2418,MTMR7
2419,PSMD2
2420,GOLPH3
2421,RAD23B
2422,MYH7B
2423,GALE
2424,RABIF
2425,ERLIN1
2426,USP5
2427,GIGYF2
2428,KCTD16
2429,BSCL2
2430,PIP5K1B
2431,SRSF3
2432,HAAO
2433,HS1BP3
2434,RNF20
2435,GYG1
2436,COL5A1
2437,GPHN
2438,TRPC3
2439,WBP11
2440,MECR
2441,PRDX6
2442,SERPIND1
2443,CLTA
2444,MIEN1
2445,SMARCD1
2446,AKR7A3
2447,SDHA
2448,PCBP3
2449,PPP1R14B
2450,PVALB
2451,SMNDC1
2452,SNX17
2453,PHB2
2454,CASP3
2455,PHLDB1
2456,MYCBP2
2457,ECSIT
2458,ATP2B2
2459,ABCB6
2460,KIAA0513
2461,TXNDC5
2462,NEMF
2463,AASDHPPT
2464,RAB4A
2465,FOXRED1
2466,CDH2
2467,MAP2K4
2468,TPH2
2469,AAK1
2470,SARNP
2471,ITGA2
2472,COL6A1
2473,MYH3
2474,G6PD
2475,EPN2
2476,SLC25A1
2477,TAGLN
2478,HDLBP
2479,NUDT4
2480,RPS6KA4
2481,UBAP2L
2482,NPEPPS
2483,SLC12A2
2484,CAST
2485,WASF1
2486,NPTN
2487,EEF1A1
2488,CDK14
2489,GCLM
2490,RBM10
2491,GLG1
2492,KCNN3
2493,PIK3C2A
2494,RBM12
2495,GAK
2496,RANBP1
2497,TMSB4X
2498,DNAJB1
2499,RPS20
2500,DGKE
2501,TTYH3
2502,UBA6
2503,USP10
2504,MDH1
2505,STT3B
2506,RASGRF2
2507,HTRA2
2508,AHSG
2509,PRKCH
2510,TM9SF1
2511,EPS15
2512,CPNE7
2513,MRPL53
2514,ARHGEF7
2515,MICALL1
2516,RBM3
2517,GPRASP1
2518,GDAP1
2519,MRI1
2520,ABCF2
2521,CCNK
2522,PSMC3
2523,CHST9
2524,SNAP25
2525,IPO8
2526,MCUR1
2527,TBCD
2528,EIF4A1
2529,CAMK2B
2530,IDH3A
2531,PCBP1
2532,RPS7
2533,SNRPA1
2534,SELENBP1
2535,MAP2K1
2536,POLR2E
2537,KCMF1
2538,PREP
2539,STAT6
2540,PDE4D
2541,ATP6V0A1
2542,ASL
2543,GIT1
2544,NCAN
2545,GSPT1
2546,ARFGAP1
2547,TMCO1
2548,PC
2549,HYDIN
2550,PENK
2551,SRP68
2552,EIF2B1
2553,DPF3
2554,SNRNP70
2555,GOLGA4
2556,SNX3
2557,ABHD17A
2558,RMND1
2559,NAP1L1
2560,RIN1
2561,KCND2
2562,EIF3G
2563,UBXN6
2564,MRPS17
2565,IDH2
2566,MRPL37
2567,LIG3
2568,SERPINF2
2569,SMU1
2570,CEP76
2571,DDX23
2572,DNM1
2573,GRIN1
2574,CMAS
2575,COMT
2576,SYNE1
2577,COG5
2578,PI4KA
2579,XPO4
2580,ASIC1
2581,NOSIP
2582,SV2B
2583,BCAM
2584,EHMT2
2585,TRPM3
2586,TUBA1A
2587,PFDN2
2588,LIMCH1
2589,RAB1A
2590,BLOC1S1
2591,FGA
2592,SNX6
2593,PRPF6
2594,KATNAL1
2595,USP31
2596,KNG1
2597,GRM1
2598,HNRNPC
2599,LANCL1
2600,VAPA
2601,NMRAL1
2602,PPP3CA
2603,PGM1
2604,RANGAP1
2605,DEK
2606,ATP6V0C
2607,MAGI2
2608,MCF2L
2609,UBB
2610,ECI1
2611,MCFD2
2612,MPZL1
2613,HSPA8
2614,APBA1
2615,SLC38A1
2616,DPP6
2617,PSMD9
2618,TMEM126A
2619,RAB3A
2620,CPOX
2621,PPP1R14A
2622,HBG1
2623,TCEA1
2624,METAP1
2625,FNTA
2626,PTN
2627,OSBPL9
2628,PFKFB2
2629,STAM2
2630,MLYCD
2631,PSMB9
2632,WDR59
2633,ASTN1
2634,CNTN2
2635,TMEM33
2636,OGFR
2637,DERA
2638,ACP2
2639,AOC3
2640,PRKCB
2641,HMOX2
2642,EXOC4
2643,PACSIN3
2644,ACOT8
2645,TOMM34
2646,STRN
2647,WIPF3
2648,UBE3A
2649,COPS8
2650,GMFB
2651,CLSTN3
2652,EP400
2653,ALOX5
2654,NOVA1
2655,JPH4
2656,TIMM50
2657,ATP6V1C1
2658,GNG3
2659,RPL27
2660,ROBO2
2661,NCDN
2662,PMPCB
2663,ALG1
2664,PNMA2
2665,SLC6A5
2666,SETD3
2667,SEMA4D
2668,THYN1
2669,CTSD
2670,ARL6IP4
2671,ITPKA
2672,ATAD3A
2673,DTX3
2674,FAM162A
2675,GABBR1
2676,ABAT
2677,HTT
2678,RAMP1
2679,PPP1CC
2680,PRPS2
2681,HSPA13
2682,ATG5
2683,AGAP1
2684,APLP2
2685,RPL30
2686,RPS28
2687,DHX15
2688,RTCB
2689,NIT2
2690,UBA2
2691,COA6
2692,TBC1D1
2693,DPP10
2694,CYCS
2695,XPNPEP1
2696,EIF3D
2697,GABRB2
2698,SEC11C
2699,PTP4A1
2700,CARHSP1
2701,C2CD2
2702,DES
2703,NDRG4
2704,POLB
2705,ATF6B
2706,COL12A1
2707,COTL1
2708,RPL22
2709,DCAF7
2710,LRRTM2
2711,NIF3L1
2712,MAT2B
2713,UBQLN2
2714,LNPEP
2715,EVL
2716,SDK2
2717,MX1
2718,VPS29
2719,FXR2
2720,VPS26B
2721,SERPINC1
2722,CLU
2723,KIF14
2724,CC2D1A
2725,MYO1F
2726,SEZ6L
2727,NDUFA4
2728,STRAP
2729,ASAP2
2730,FBXO21
2731,GCSH
2732,ANLN
2733,SLC2A13
2734,ACTG1
2735,UTP15
2736,CABLES1
2737,DDX3X
2738,CHM
2739,CA1
2740,RAB30
2741,LDHB
2742,NUDT5
2743,SLC9A3R1
2744,TDRKH
2745,PSMB7
2746,ARHGAP35
2747,RAN
2748,MYRIP
2749,GNAQ
2750,POLR2H
2751,ASTN2
2752,GSPT2
2753,MVP
2754,NRXN3
2755,PSMD12
2756,ACAN
2757,FRMD4B
2758,ERP44
2759,SRI
2760,PPIL1
2761,FAHD1
2762,ABI2
2763,PROX1
2764,AQP1
2765,SORL1
2766,HSPG2
2767,PITPNM2
2768,PCNP
2769,TARDBP
2770,EFNB3
2771,EWSR1
2772,ABCB7
2773,DDX42
2774,POLR2A
2775,LRRC8B
2776,MANF
2777,NCLN
2778,APLF
2779,GSK3A
2780,TMEM9
2781,HNRNPUL2
2782,DOC2A
2783,CANX
2784,ATP1A3
2785,SF3B2
2786,HNRNPH1
2787,TRAPPC11
2788,SEC31A
2789,MEMO1
2790,FUNDC1
2791,LACTB2
2792,PSMA6
2793,ATP6AP1
2794,FHL1
2795,PA2G4
2796,TRA2B
2797,PIGS
2798,CAMK2D
2799,EIF2A
2800,DCTN4
2801,GNB3
2802,PDHX
2803,SETD7
2804,DLG1
2805,FMN2
2806,ILF3
2807,NDUFB8
2808,SALL2
2809,TRMT10C
2810,TECR
2811,UTRN
2812,RBMXL1
2813,RHOA
2814,PLP1
2815,KCNH2
2816,VWA1
2817,SNRPD3
2818,AIFM3
2819,LRP2
2820,TNFAIP8L3
2821,ELMO1
2822,ICAM5
2823,CNN1
2824,CRTC1
2825,FNBP1L
2826,CDH11
2827,RGS9
2828,SHC3
2829,ENC1
2830,VPS33B
2831,OGT
2832,HSPA1B
2833,CADPS
2834,ITGA7
2835,PPP2R5A
2836,UBE2V1
2837,RUFY3
2838,CPEB3
2839,METTL7A
2840,PPIF
2841,S1PR5
2842,CCDC92
2843,PDYN
2844,NDUFAF4
2845,CLIC4
2846,AP4S1
2847,CA14
2848,DGKG
2849,ZNF330
2850,RNMT
2851,TRMT112
2852,ARL8B
2853,MYPN
2854,TRIM3
2855,KDSR
2856,GBP3
2857,PITPNB
2858,APC
2859,CPNE8
2860,PPAT
2861,CD55
2862,TMEFF1
2863,ANK3
2864,HERC4
2865,RAP2B
2866,CDK16
2867,PFDN4
2868,MRPL21
2869,XKR4
2870,APOH
2871,SART3
2872,PKIB
2873,ARPC5L
2874,RAB9A
2875,RPS13
2876,CS
2877,TFAM
2878,PCDHGC3
2879,PIK3R4
2880,PLXNC1
2881,ICA1L
2882,PPP1R12B
2883,NQO2
2884,PRPF4B
2885,PIN1
2886,CDH10
2887,SERPINH1
2888,DUSP3
2889,NCEH1
2890,MTX3
2891,PLEKHB1
2892,SIAE
2893,GFAP
2894,TBCC
2895,PDLIM7
2896,HNRNPDL
2897,DNAJC12
2898,UFL1
2899,RRAS
2900,BCHE
2901,SRP72
2902,TRA2A
2903,MAP1B
2904,HSPA6
2905,TXNRD2
2906,PIK3C3
2907,AZGP1
2908,LPCAT4
2909,GNAI2
2910,RAB8A
2911,PRPF3
2912,SLC25A13
2913,SUGP2
2914,QKI
2915,ACAA2
2916,CD200
2917,COA3
2918,OVCA2
2919,RPS18
2920,VPS51
2921,SNTA1
2922,PRKCG
2923,AHCYL1
2924,RAC1
2925,GOLGA7B
2926,TPPP3
2927,NDUFB5
2928,KNDC1
2929,NDUFB4
2930,VTI1A
2931,CXADR
2932,EML2
2933,RPL15
2934,NUP54
2935,KIF1B
2936,GNB5
2937,MAP4K4
2938,POLR2B
2939,STAMBPL1
2940,HSD17B8
2941,UBE2D3
2942,EMC7
2943,NUDC
2944,ANXA3
2945,SLC4A7
2946,YTHDF3
2947,PPP1R14C
2948,NRP2
2949,MCM5
2950,DTYMK
2951,RAPGEF5
2952,ARFGEF2
2953,NDUFA9
2954,RPS4X
2955,CORO1B
2956,CYB5R3
2957,CTIF
2958,NCS1
2959,PHF5A
2960,SNX2
2961,AUH
2962,CAMKV
2963,LYRM1
2964,PLIN4
2965,GRK5
2966,HNRNPLL
2967,FMNL2
2968,RDH14
2969,KRT2
2970,MBD1
2971,PIN4
2972,CNTNAP2
2973,CTNNA2
2974,MAP7D2
2975,BAIAP3
2976,HSPBP1
2977,KIF21A
2978,PURA
2979,MPZ
2980,NRBP1
2981,UQCRQ
2982,DARS2
2983,FLNB
2984,NPM1
2985,CMPK1
2986,TMX4
2987,RAB13
2988,RBMX
2989,EPB41L2
2990,P2RY12
2991,APPL2
2992,COPS4
2993,CHN1
2994,PMPCA
2995,SIRT2
2996,TBC1D9B
2997,MYO5A
2998,KDM1A
2999,GALC
3000,PSMB2
3001,TFCP2
3002,LPGAT1
3003,TUBB3
3004,EIF3B
3005,ACO1
3006,PPM1K
3007,NR2F1
3008,RAB10
3009,DIS3L2
3010,CAMSAP2
3011,COPS3
3012,NFIX
3013,QPRT
3014,NPY
3015,KIF1A
3016,RPSA
3017,PPM1H
3018,CYP51A1
3019,PSMC2
3020,IFT140
3021,STRN4
3022,ZFR
3023,UBE2V2
3024,ABL1
3025,TCEAL3
3026,CDKN1B
3027,CNTN5
3028,DPM1
3029,MEF2D
3030,NUDT14
3031,SLC7A10
3032,CPLX2
3033,MAP7D1
3034,MB
3035,SUB1
3036,VPS13C
3037,FUBP1
3038,HCN1
3039,PRKAB2
3040,TBC1D4
3041,AMPD3
3042,PKP4
3043,PPP2R5C
3044,ELMO2
3045,UTP20
3046,CUL3
3047,PREPL
3048,PCSK2
3049,NDUFB1
3050,SNX7
3051,MYO1D
3052,WDR13
3053,CAPN1
3054,EIF3H
3055,BPNT1
3056,DAO
3057,PTBP2
3058,DRG1
3059,GNG12
3060,NUP210
3061,RAB9B
3062,SH3BGRL2
3063,STX6
3064,SHROOM2
3065,WDR26
3066,SNRPD2
3067,ACAD9
3068,PYGB
3069,PCCA
3070,TFG
3071,JUP
3072,NEBL
3073,RPL35
3074,TACO1
3075,SH2B2
3076,MVB12B
3077,KCTD17
3078,ABHD10
3079,PWP1
3080,LIPA
3081,ZFAND2B
3082,RAP2C
3083,CAPN2
3084,CLIP3
3085,TTC1
3086,PCDH9
3087,VTN
3088,IDS
3089,TGFB1I1
3090,PDLIM1
3091,SV2C
3092,SDC3
3093,SNX4
3094,ULK3
3095,UGGT2
3096,IDI1
3097,FSD1
3098,NOP58
3099,CCDC88C
3100,AP1B1
3101,RABGGTB
3102,RRBP1
3103,ATP2A3
3104,PARVA
3105,EIF2B5
3106,BCCIP
3107,STXBP1
3108,RASGRP2
3109,OSBPL3
3110,RAPGEF4
3111,CCNY
3112,RALYL
3113,HNMT
3114,ADRM1
3115,ANXA2
3116,DAG1
3117,CAB39L
3118,DTX3L
3119,PPP2R1A
3120,PTPRN
3121,PDZD8
3122,DLD
3123,HP1BP3
3124,CLPX
3125,ZBTB18
3126,CLCN6
3127,PTPRZ1
3128,RCC2
3129,RPS11
3130,TIMM10
3131,RDH11
3132,MYH14
3133,TUBA4A
3134,PTGR2
3135,FN3KRP
3136,PLXNA4
3137,DDHD2
3138,DDX19A
3139,DIP2A
3140,DNPEP
3141,TEX10
3142,CD81
3143,CD38
3144,CRABP1
3145,KCNG3
3146,UBE2K
3147,RHOT2
3148,SART1
3149,AGPAT3
3150,MAP3K12
3151,SH3KBP1
3152,COPS2
3153,RUFY2
3154,COL6A3
3155,GRID2IP
3156,KCNA1
3157,MRPS9
3158,COPS7B
3159,PFDN5
3160,SLC25A10
3161,SLITRK5
3162,SGTB
3163,USO1
3164,ELF2
3165,ITPR3
3166,MGLL
3167,ATL3
3168,KATNAL2
3169,LPCAT1
3170,BCL2L13
3171,COL14A1
3172,SNCB
3173,SUCLA2
3174,PRDX3
3175,IGF2BP2
3176,PDCD6IP
3177,CA3
3178,MYL6
3179,ACSS2
3180,LIMK1
3181,SLC30A1
3182,S1PR1
3183,TCP11L1
3184,NEO1
3185,RPL10A
3186,NRXN2
3187,DOCK9
3188,VBP1
3189,NDUFA10
3190,STX7
3191,ZDHHC5
3192,ARHGAP32
3193,MAPK8
3194,COL6A2
3195,SNX31
3196,ADCY5
3197,EIF5A
3198,FBXO41
3199,TNS3
3200,WDFY3
3201,SF3B5
3202,CCT7
3203,OXSR1
3204,PTPRE
3205,RPL18A
3206,ATG101
3207,OPHN1
3208,MTMR1
3209,ACY1
3210,EIF4B
3211,HMG20A
3212,RANBP6
3213,WDR1
3214,SFPQ
3215,EXOC2
3216,LYPLAL1
3217,TRIM28
3218,MAPRE3
3219,RPLP0
3220,MAP3K5
3221,ALDH6A1
3222,BUD31
3223,SORD
3224,GFRA2
3225,MAGOHB
3226,WDR48
3227,NAMPT
3228,PHKB
3229,PCBD1
3230,PNPLA4
3231,REPS2
3232,ATL2
3233,SEC23A
3234,STAU2
3235,TMEM30A
3236,VPS4A
3237,SRSF2
3238,ME2
3239,PPP1R9A
3240,DLGAP3
3241,FGB
3242,HNRNPU
3243,MRPS18B
3244,LCP1
3245,CSTB
3246,BCKDHA
3247,BRSK2
3248,DOCK1
3249,GFER
3250,DYNC1I1
3251,STK11
3252,CBR3
3253,SPIRE1
3254,VWA8
3255,NCKIPSD
3256,PLCG1
3257,RRAGC
3258,NDUFA2
3259,PPCS
3260,RRP8
3261,CEP41
3262,OMG
3263,WDR77
3264,CHCHD6
3265,MTPN
3266,BLVRB
3267,BMI1
3268,NAP1L5
3269,PIR
3270,TSC22D1
3271,CPEB4
3272,EMC8
3273,PPP1R12C
3274,STT3A
3275,ADK
3276,PRMT8
3277,LMNB1
3278,ISCU
3279,ACVR1
3280,DHX36
3281,MAPT
3282,STOML2
3283,MRPL15
3284,PDLIM5
